$Name	"%Input[4:0,0,0,0]<4:1,1,14,1>"	"%Input[4:0,0,1,0]"	"%Input[4:0,0,2,0]"	"%Input[4:0,0,3,0]"	"%Input[4:0,0,4,0]"	"%Input[4:0,0,5,0]"	"%Input[4:0,0,6,0]"	"%Input[4:0,0,7,0]"	"%Input[4:0,0,8,0]"	"%Input[4:0,0,9,0]"	"%Input[4:0,0,10,0]"	"%Input[4:0,0,11,0]"	"%Input[4:0,0,12,0]"	"%Input[4:0,0,13,0]"	"%Output[2:0,0]<2:1,4>"	"%Output[2:0,1]"	"%Output[2:0,2]"	"%Output[2:0,3]"
Tamara	1	58384	-487.886086	5.727180298550763	4.8788608595139005	4.7219999999999995	272.0358314131986	532.4842261151226	5.231058287281048	1039.7882807428462	3.7903690663529614	0.7159391270136213	-232.79405	-26.89	0	0	0	1
Erich	0	67239	-552.0605073	-5.98744578	5.520605073421985	-5.612	-487.3405573	367.7603030171392	4.107170286816076	1058.9445920642218	7.248741976146588	0.091674184	-252.18425	-113.45	0	0	1	0
Stephany	1	23702	-366.0761169	7.7250166064392305	3.6607611688232367	6.14	664.8935212343011	602.5852838484592	3.5555789956034967	1088.0883479121803	8.728530920939827	-0.515326846	-227.34265	30.42	0	0	0	1
Vesta	1	32667	697.7428088	-6.497214445	-6.977428088	4.026	-537.0011284	523.9821331934736	-4.809636607	920.3914493107919	0.8219105005879808	-0.014040417	-256.84675	200.64	1	0	0	0
Gaston	1	60158	436.7752035539525	-7.820623052		2.2359999999999998	-444.2625366	599.3245143172293	-3.444376575	937.4347240534976	4.311065821291761	-0.264070077	-256.3873	157.98	1	0	0	0
Corrine	0	21209	-613.6871604	-4.289196727	6.136871603822727	-6.592	-440.9977043	396.20180391410247	5.3802859494804585	1052.8451637299704	11.751212035101073	1.049894068203692	-247.94549	-34.69	0	0	1	0
Tom	1	49167	628.0460512248516	-4.86197624	-6.280460512		-926.8925116	583.7424423327342	-7.322486416	923.5395732944658	1.6466661386700716	0.1530218296077356	-257.83447	261.55	1	0	0	0
Alicia	0	33010	411.4127268406701	5.931831618301035	-4.114127268	2.7689999999999997	-502.0213361	439.3514157413572		1041.091935399735	6.581791319	-0.171704452	-244.03492	72.25	0	1	0	0
Bella	1	20278	496.3949449852823	-5.215891146	-4.96394945	5.855	-626.5520411	567.8424015938325	-6.198661229	925.2555003872844	1.0865178213133744	1.1470315267700957	-252.27561	244.11	1	0	0	0
Hayden	0	46316	527.1935850836812	7.922205496177112	-5.271935851	3.3560000000000003	-398.1019909	341.47560564416693	4.978613530314481	1041.4146653613177	2.068824178512835	-0.529578504	-244.57527	-0.09	0	1	0	0
Antonio	0	35619	604.9339619176021	5.484188547740066	-6.049339619	5.358	-530.7958956	484.8726713263256	5.6996535617818695	1036.2853570584764	9.293131894951047	-0.496553498	-242.69168	64.61	0	1	0	0
Neville	1	46550	438.55694958685325	5.320518357754184	-4.385569496	3.014	-518.5607177	417.0640932879666	4.8014365930153895	1046.7619580239934	6.376965575596179	-0.919638744	-244.91344	20.66	0	1	0	0
