$Name	%Input[4:0,0,0,0]<4:1,1,14,1>	%Input[4:0,0,1,0]	%Input[4:0,0,2,0]	%Input[4:0,0,3,0]	%Input[4:0,0,4,0]	%Input[4:0,0,5,0]	%Input[4:0,0,6,0]	%Input[4:0,0,7,0]	%Input[4:0,0,8,0]	%Input[4:0,0,9,0]	%Input[4:0,0,10,0]	%Input[4:0,0,11,0]	%Input[4:0,0,12,0]	%Input[4:0,0,13,0]	%Output[2:0,0]<2:1,4>	%Output[2:0,1]	%Output[2:0,2]	%Output[2:0,3]
Tamara	1	0.6398867977050245	0.24148559432656208	0.7313508799284508	0.7585144055859807	0.7169358707820247	0.6234988944340834	0.5386788353677823	0.6790809726514324	0.6923535131916837	0.4654896552433784	0.6325706048118702	0.793213118859273	0.3356494549876232	0	0	0	1
Erich	0	0.7083571748913599	0.20912252876977697	0.19664539322921037	0.7908774711942101	0.16605362759208914	0.2749829179488924	0.1817678379927306	0.6249143169466869	0.7919543221557792	0.6551532656876321	0.5345732370123776	0.24886232137533257	0.14769618274199853	0	0	1	0
Stephany	1	0.3717117980916444	0.3029141812245208	0.8225406480176662	0.6970858186928977	0.7925262540647157	0.8038010257918029	0.6905683603505536	0.5983299459519908	0.9434835811039638	0.7363076470356303	0.4392859653862936	0.9462530017590861	0.46009032874451733	0	0	0	1
Vesta	1	0.4410327389697354	0.8393964889033554	0.173377377648079	0.16060351092931932	0.6798336798336798	0.2521911868824878	0.5202571610452487	0.19516187826666304	0.07156484470138796	0.3026938597284424	0.5179781154187123	0.11796962334906827	0.8296999174881662	1	0	0	0
Gaston	1	0.6536040703338849	0.7077909123249027	0.1129713656624671		0.584412815182046	0.2947535859239011	0.6835031782949441	0.26096164663343885	0.16017918820898294	0.4940456349090278	0.47872835644054806	0.13086799334545812	0.7370695270769098	1	0	0	0
Corrine	0	0.3524349318775807	0.17804429894052645	0.2741607215317956	0.8219557009986658	0.11381203688896	0.2962519814942756	0.2433926722066436	0.6862731158157294	0.7602411188089495	0.9020771080761089	0.6849949889880407	0.36785915412295866	0.3187128153906284	0	0	1	0
Tom	1	0.5686172927330931	0.8042485173469701	0.24801662216264975	0.19575148250437321		0.07325044266291707	0.649741155459634	0.07405312865324376	0.08793311572354927	0.3479249947543752	0.5442036156801784	0.09024086502316905	0.9619577018282885	1	0	0	0
Alicia	0	0.4436849512085737	0.6950006529049179	0.7406920388179413	0.30499934697347497	0.6128258435950744	0.2682451709829705	0.33688589835116073		0.6991317000909038	0.6185764496755791	0.4932279502852043	0.4776425446045823	0.5509184869935294	0	1	0	0
Bella	1	0.3452360700864482	0.737857059573833	0.23186243672011644	0.262142940269146	0.7773335465643159	0.2110917739317278	0.6152901826337274	0.1282167570142244	0.09685486081846433	0.31720541794029344	0.700243667230785	0.24629752633154048	0.924089112780649	1	0	0	0
Hayden	0	0.5465722283222244	0.7533887681326809	0.831541189780756	0.2466112317067793	0.6441174902713365	0.3159389794900432	0.12481619806907102	0.6669142013811465	0.7008096935579827	0.37107692778852147	0.43704873424523927	0.46247302838399446	0.39384201155165677	0	1	0	0
